k1,k2,epsilon,MAE
1e-06,0.0011937766417144358,1.0,0.03107804512557431
1e-06,0.0011937766417144358,2.0,0.026771473281712678
1e-06,0.0011937766417144358,3.0,0.025804205687204197
1e-06,0.0011937766417144358,4.0,0.02552065292917812
1e-06,0.0011937766417144358,5.0,0.015740926926066465
1e-06,0.0011937766417144358,6.0,0.029175346285504406
1e-06,0.0011937766417144358,7.0,0.029423701669621438
1e-06,0.0011937766417144358,8.0,0.029473373563807657
1e-06,0.0011937766417144358,9.0,0.029485580697498036
1e-06,0.0011937766417144358,10.0,0.0294887838328571
1e-06,0.0015117750706156615,1.0,0.03117990818515166
1e-06,0.0015117750706156615,2.0,0.02694731172044147
1e-06,0.0015117750706156615,3.0,0.025880629308612523
1e-06,0.0015117750706156615,4.0,0.02556411888800882
1e-06,0.0015117750706156615,5.0,0.016102645572654423
1e-06,0.0015117750706156615,6.0,0.02905579119907823
1e-06,0.0015117750706156615,7.0,0.029404520037529656
1e-06,0.0015117750706156615,8.0,0.02946884895258047
1e-06,0.0015117750706156615,9.0,0.02948439970392207
1e-06,0.0015117750706156615,10.0,0.029488462791183317
1e-06,0.0019144819761699576,1.0,0.031243756058490574
1e-06,0.0019144819761699576,2.0,0.027162957344912884
1e-06,0.0019144819761699576,3.0,0.025967694237643224
1e-06,0.0019144819761699576,4.0,0.025606680558782836
1e-06,0.0019144819761699576,5.0,0.017893812339175624
1e-06,0.0019144819761699576,6.0,0.02886750717349671
1e-06,0.0019144819761699576,7.0,0.029379193191708543
1e-06,0.0019144819761699576,8.0,0.029463057309875418
1e-06,0.0019144819761699576,9.0,0.029482899694149377
1e-06,0.0019144819761699576,10.0,0.029488055890341112
1e-06,0.0024244620170823282,1.0,0.031289320730141304
1e-06,0.0024244620170823282,2.0,0.027279335068133764
1e-06,0.0024244620170823282,3.0,0.026069592286680005
1e-06,0.0024244620170823282,4.0,0.025649510388101426
1e-06,0.0024244620170823282,5.0,0.025472869303318362
1e-06,0.0024244620170823282,6.0,0.02853428355317065
1e-06,0.0024244620170823282,7.0,0.02934531947899217
1e-06,0.0024244620170823282,8.0,0.029455621779331042
1e-06,0.0024244620170823282,9.0,0.029480992977969654
1e-06,0.0024244620170823282,10.0,0.029487540052984918
1e-06,0.00307029062975785,1.0,0.03132331822150193
1e-06,0.00307029062975785,2.0,0.026886317318252178
1e-06,0.00307029062975785,3.0,0.026188528593465467
1e-06,0.00307029062975785,4.0,0.025693387648666643
1e-06,0.00307029062975785,5.0,0.025508252105478822
1e-06,0.00307029062975785,6.0,0.027765155735926417
1e-06,0.00307029062975785,7.0,0.029299211588121
1e-06,0.00307029062975785,8.0,0.02944603910343997
1e-06,0.00307029062975785,9.0,0.029478566827356334
1e-06,0.00307029062975785,10.0,0.02948688592903359
1e-06,0.003888155180308085,1.0,0.03134895046008292
1e-06,0.003888155180308085,2.0,0.026194273638596888
1e-06,0.003888155180308085,3.0,0.026317886870064543
1e-06,0.003888155180308085,4.0,0.025738908100046948
1e-06,0.003888155180308085,5.0,0.025541693399875564
1e-06,0.003888155180308085,6.0,0.015080843235956171
1e-06,0.003888155180308085,7.0,0.029234886606445198
1e-06,0.003888155180308085,8.0,0.029433627674570313
1e-06,0.003888155180308085,9.0,0.029475475748347003
