MAE,ks,xs,kw
0.008321844100862716,2.8397630403459395,0.36842105263157876,4.06958880964731
0.008324848250139679,4.960161148001825,0.5789473684210527,4.06958880964731
0.008325352574903386,8.663820982454096,0.5789473684210527,4.06958880964731
0.008325661006296559,2.1486974115205904,0.1578947368421053,4.06958880964731
0.008333959568033095,8.663820982454096,1.0,2.695948443325881
0.008341635110791206,1.6258048649414265,-0.1578947368421053,4.06958880964731
0.008342653434969607,1.2301599307073392,-0.8947368421052632,4.06958880964731
0.00834908505946121,1.2301599307073392,-1.0,4.06958880964731
0.008355055992033825,1.2301599307073392,-0.7894736842105263,4.06958880964731
0.008357077493080534,1.6258048649414265,-0.26315789473684215,4.06958880964731
0.00836161904308121,6.555451794530399,0.7894736842105261,2.695948443325881
0.008368560425529786,1.2301599307073392,-0.6842105263157895,4.06958880964731
0.008372113068284512,1.6258048649414265,-0.052631578947368474,4.06958880964731
0.008377787980475499,2.1486974115205904,0.26315789473684204,4.06958880964731
0.008383156965975682,1.2301599307073392,-0.5789473684210527,4.06958880964731
0.00838717855072787,1.6258048649414265,-0.368421052631579,4.06958880964731
0.008389890520819992,2.1486974115205904,0.05263157894736836,4.06958880964731
0.008390383987797798,4.960161148001825,0.4736842105263157,4.06958880964731
0.008398886233751299,1.2301599307073392,-0.4736842105263158,4.06958880964731
0.00840091516189263,2.8397630403459395,0.26315789473684204,4.06958880964731
0.008403771762776128,11.450285406513153,0.7894736842105261,4.06958880964731
0.008404744828872148,1.6258048649414265,0.05263157894736836,4.06958880964731
0.008411187900000578,6.555451794530399,0.6842105263157894,4.06958880964731
0.00841383669771304,1.6258048649414265,-0.4736842105263158,4.06958880964731
0.008415435508983906,8.663820982454096,0.6842105263157894,3.312310615921323
0.008415668224230214,1.2301599307073392,-0.368421052631579,4.06958880964731
0.008419348710815238,2.8397630403459395,0.4736842105263157,4.06958880964731
0.00842775405458748,2.1486974115205904,1.0,3.312310615921323
0.008433547060555147,1.2301599307073392,-0.26315789473684215,4.06958880964731
0.008437622946992258,1.6258048649414265,-0.5789473684210527,4.06958880964731
0.008438145726168283,2.1486974115205904,0.36842105263157876,4.06958880964731
0.008439164721434222,0.9307964859438446,-1.0,4.06958880964731
0.008439357965812369,1.6258048649414265,0.1578947368421053,4.06958880964731
0.008440776861923691,3.753089700800592,0.36842105263157876,4.06958880964731
0.008444811617013817,3.753089700800592,0.5789473684210527,4.06958880964731
0.008446191165913183,6.555451794530399,1.0,3.312310615921323
0.008446480900297601,2.1486974115205904,-0.052631578947368474,4.06958880964731
0.00844792058101021,0.9307964859438446,-0.8947368421052632,4.06958880964731
0.00844969291393996,6.555451794530399,0.6842105263157894,3.312310615921323
0.008452509186680912,1.2301599307073392,-0.1578947368421053,4.06958880964731
0.008457175058783562,0.9307964859438446,-0.7894736842105263,4.06958880964731
0.008458633996355927,1.6258048649414265,-0.6842105263157895,4.06958880964731
0.008461211207026123,11.450285406513153,0.894736842105263,3.312310615921323
0.008466968998328443,0.9307964859438446,-0.6842105263157895,4.06958880964731
0.008472547163703908,1.2301599307073392,-0.052631578947368474,4.06958880964731
0.00847588647799093,1.6258048649414265,0.26315789473684204,4.06958880964731
