k1,k2,epsilon,MAE
1e-06,2.571913809059347e-06,9.0,0.01564215140450766
1e-06,2.571913809059347e-06,10.0,0.01564215547634794
1e-06,3.257020655659783e-06,1.0,0.013492151047863216
1e-06,3.257020655659783e-06,2.0,0.015340907903559815
1e-06,3.257020655659783e-06,3.0,0.015589087114624747
1e-06,3.257020655659783e-06,4.0,0.01563160769497029
1e-06,3.257020655659783e-06,5.0,0.015639914238864596
1e-06,3.257020655659783e-06,6.0,0.01564165611088203
1e-06,3.257020655659783e-06,7.0,0.015642040505379422
1e-06,3.257020655659783e-06,8.0,0.015642128908827213
1e-06,3.257020655659783e-06,9.0,0.015642149953033434
1e-06,3.257020655659783e-06,10.0,0.015642155109541433
1e-06,4.124626382901348e-06,1.0,0.012860946460785056
1e-06,4.124626382901348e-06,2.0,0.015250856757850113
1e-06,4.124626382901348e-06,3.0,0.01557455243086259
1e-06,4.124626382901348e-06,4.0,0.015628778053863465
1e-06,4.124626382901348e-06,5.0,0.015639315788540865
1e-06,4.124626382901348e-06,6.0,0.015641522660819175
1e-06,4.124626382901348e-06,7.0,0.015642009508713296
1e-06,4.124626382901348e-06,8.0,0.015642121464706414
1e-06,4.124626382901348e-06,9.0,0.015642148114908633
1e-06,4.124626382901348e-06,10.0,0.015642154645025164
1e-06,5.223345074266844e-06,1.0,0.012183148881777368
1e-06,5.223345074266844e-06,2.0,0.01512986902437922
1e-06,5.223345074266844e-06,3.0,0.015555895551032733
1e-06,5.223345074266844e-06,4.0,0.015625182719971244
1e-06,5.223345074266844e-06,5.0,0.015638557279783808
1e-06,5.223345074266844e-06,6.0,0.015641353624726323
1e-06,5.223345074266844e-06,7.0,0.015641970252811766
1e-06,5.223345074266844e-06,8.0,0.015642112037466894
1e-06,5.223345074266844e-06,9.0,0.015642145787133487
1e-06,5.223345074266844e-06,10.0,0.015642154056769074
1e-06,6.6147406412301455e-06,1.0,0.011602654624301606
1e-06,6.6147406412301455e-06,2.0,0.0149642764160525
1e-06,6.6147406412301455e-06,3.0,0.015531856058336454
1e-06,6.6147406412301455e-06,4.0,0.015620610391027181
1e-06,6.6147406412301455e-06,5.0,0.015637595686058006
1e-06,6.6147406412301455e-06,6.0,0.01564113950047575
1e-06,6.6147406412301455e-06,7.0,0.015641920536164606
1e-06,6.6147406412301455e-06,8.0,0.015642100098750677
1e-06,6.6147406412301455e-06,9.0,0.015642142839268867
1e-06,6.6147406412301455e-06,10.0,0.01564215331181245
1e-06,8.376776400682924e-06,1.0,0.0112591869965633
1e-06,8.376776400682924e-06,2.0,0.014731806238523156
1e-06,8.376776400682924e-06,3.0,0.015500727188879723
1e-06,8.376776400682924e-06,4.0,0.015614788908281704
1e-06,8.376776400682924e-06,5.0,0.01563637628193288
1e-06,8.376776400682924e-06,6.0,0.01564086824101578
1e-06,8.376776400682924e-06,7.0,0.015641857569971416
1e-06,8.376776400682924e-06,8.0,0.015642084979403836
1e-06,8.376776400682924e-06,9.0,0.015642139106123814
1e-06,8.376776400682924e-06,10.0,0.01564215236841222
1e-06,1.0608183551394482e-05,1.0,0.011146151273295773
1e-06,1.0608183551394482e-05,2.0,0.01439366588218017
1e-06,1.0608183551394482e-05,3.0,0.015460155256868596
1e-06,1.0608183551394482e-05,4.0,0.015607366136855691
1e-06,1.0608183551394482e-05,5.0,0.015634829381339466
1e-06,1.0608183551394482e-05,6.0,0.015640524568124974
1e-06,1.0608183551394482e-05,7.0,0.015641777821179773
1e-06,1.0608183551394482e-05,8.0,0.015642065831929848
1e-06,1.0608183551394482e-05,9.0,0.015642134378499976
1e-06,1.0608183551394482e-05,10.0,0.015642151173706653
1e-06,1.3433993325988988e-05,1.0,0.011204780025656964
1e-06,1.3433993325988988e-05,2.0,0.013878918138010362
1e-06,1.3433993325988988e-05,3.0,0.015406817384156914
1e-06,1.3433993325988988e-05,4.0,0.01559788383400256
1e-06,1.3433993325988988e-05,5.0,0.015632866117077322
1e-06,1.3433993325988988e-05,6.0,0.015640089098307244
1e-06,1.3433993325988988e-05,7.0,0.015641676813408174
1e-06,1.3433993325988988e-05,8.0,0.015642041582934346
1e-06,1.3433993325988988e-05,9.0,0.015642128391461663
1e-06,1.3433993325988988e-05,10.0,0.0156421496607489
1e-06,1.7012542798525893e-05,1.0,0.011417635571078605
1e-06,1.7012542798525893e-05,2.0,0.013064645459360152
1e-06,1.7012542798525893e-05,3.0,0.015335877215589672
1e-06,1.7012542798525893e-05,4.0,0.015585741296672128
1e-06,1.7012542798525893e-05,5.0,0.0156303729496839
1e-06,1.7012542798525893e-05,6.0,0.015639537227684276
1e-06,1.7012542798525893e-05,7.0,0.015641548874330148
1e-06,1.7012542798525893e-05,8.0,0.015642010872859796
1e-06,1.7012542798525893e-05,9.0,0.015642120809483524
1e-06,1.7012542798525893e-05,10.0,0.015642147744762268
1e-06,2.1544346900318823e-05,1.0,0.01180775803907812
1e-06,2.1544346900318823e-05,2.0,0.011893864910675709
1e-06,2.1544346900318823e-05,3.0,0.015240007355646424
1e-06,2.1544346900318823e-05,4.0,0.015570143703491426
1e-06,2.1544346900318823e-05,5.0,0.01562720447423461
1e-06,2.1544346900318823e-05,6.0,0.015638837706718454
1e-06,2.1544346900318823e-05,7.0,0.01564138681496544
1e-06,2.1544346900318823e-05,8.0,0.015641971979621066
1e-06,2.1544346900318823e-05,9.0,0.01564211120763831
1e-06,2.1544346900318823e-05,10.0,0.01564214531838149
1e-06,2.7283333764867696e-05,1.0,0.012412201418710318
1e-06,2.7283333764867696e-05,2.0,0.010975824758559441
1e-06,2.7283333764867696e-05,3.0,0.01510749171462494
1e-06,2.7283333764867696e-05,4.0,0.015550026811378185
1e-06,2.7283333764867696e-05,5.0,0.01562317391765268
1e-06,2.7283333764867696e-05,6.0,0.015637950814057316
1e-06,2.7283333764867696e-05,7.0,0.015641181522252457
1e-06,2.7283333764867696e-05,8.0,0.015641922721809087
1e-06,2.7283333764867696e-05,9.0,0.015642099047765607
1e-06,2.7283333764867696e-05,10.0,0.015642142245641626
1e-06,3.455107294592218e-05,1.0,0.013250946831744659
1e-06,3.455107294592218e-05,2.0,0.010676983558136757
1e-06,3.455107294592218e-05,3.0,0.014918147641534336
1e-06,3.455107294592218e-05,4.0,0.015523943784293804
1e-06,3.455107294592218e-05,5.0,0.015618040453952148
1e-06,3.455107294592218e-05,6.0,0.015636826009632253
1e-06,3.455107294592218e-05,7.0,0.01564092144100828
1e-06,3.455107294592218e-05,8.0,0.01564186033597892
1e-06,3.455107294592218e-05,9.0,0.015642083648285433
1e-06,3.455107294592218e-05,10.0,0.01564213835435186
1e-06,4.37547937507418e-05,1.0,0.014265423527715796
1e-06,4.37547937507418e-05,2.0,0.01056792757275014
1e-06,4.37547937507418e-05,3.0,0.01463325250783008
1e-06,4.37547937507418e-05,4.0,0.015489888780132088
1e-06,4.37547937507418e-05,5.0,0.015611492055174845
