k1,k2,epsilon,MAE
1e-06,0.0024244620170823282,5.0,0.039455943575535016
1e-06,0.0024244620170823282,6.0,0.039455957253487293
1e-06,0.0024244620170823282,7.0,0.039455957817263645
1e-06,0.0024244620170823282,8.0,0.03945595784110571
1e-06,0.0024244620170823282,9.0,0.03945595784213131
1e-06,0.0024244620170823282,10.0,0.0394559578421757
1e-06,0.00307029062975785,1.0,0.033499942814201905
1e-06,0.00307029062975785,2.0,0.03892883033008595
1e-06,0.00307029062975785,3.0,0.03944352226197502
1e-06,0.00307029062975785,4.0,0.03945550168057191
1e-06,0.00307029062975785,5.0,0.039455939775100875
1e-06,0.00307029062975785,6.0,0.039455957096671594
1e-06,0.00307029062975785,7.0,0.03945595781062601
1e-06,0.00307029062975785,8.0,0.039455957840820594
1e-06,0.00307029062975785,9.0,0.03945595784211905
1e-06,0.00307029062975785,10.0,0.03945595784217521
1e-06,0.003888155180308085,1.0,0.033368158858756554
1e-06,0.003888155180308085,2.0,0.03869222908247966
1e-06,0.003888155180308085,3.0,0.03944016073649835
1e-06,0.003888155180308085,4.0,0.03945538009211842
1e-06,0.003888155180308085,5.0,0.03945593496225232
1e-06,0.003888155180308085,6.0,0.03945595689808436
1e-06,0.003888155180308085,7.0,0.03945595780222198
1e-06,0.003888155180308085,8.0,0.03945595784045837
1e-06,0.003888155180308085,9.0,0.03945595784210286
1e-06,0.003888155180308085,10.0,0.03945595784217454
1e-06,0.0049238826317067365,1.0,0.05058071659142856
1e-06,0.0049238826317067365,2.0,0.03824125281000086
1e-06,0.0049238826317067365,3.0,0.03943587351842549
1e-06,0.0049238826317067365,4.0,0.03945522606895356
1e-06,0.0049238826317067365,5.0,0.03945592886727798
1e-06,0.0049238826317067365,6.0,0.03945595664659708
1e-06,0.0049238826317067365,7.0,0.03945595779157883
1e-06,0.0049238826317067365,8.0,0.039455957840001596
1e-06,0.0049238826317067365,9.0,0.039455957842082764
1e-06,0.0049238826317067365,10.0,0.03945595784217361
1e-06,0.006235507341273912,1.0,0.05061694859583858
1e-06,0.006235507341273912,2.0,0.03685563823949038
1e-06,0.006235507341273912,3.0,0.039430395006801774
1e-06,0.006235507341273912,4.0,0.03945503094331842
1e-06,0.006235507341273912,5.0,0.039455921148589805
1e-06,0.006235507341273912,6.0,0.039455956328115924
1e-06,0.006235507341273912,7.0,0.03945595777809989
1e-06,0.006235507341273912,8.0,0.03945595783942167
1e-06,0.006235507341273912,9.0,0.039455957842057146
1e-06,0.006235507341273912,10.0,0.039455957842172484
1e-06,0.007896522868499725,1.0,0.05066229245796637
1e-06,0.007896522868499725,2.0,0.03369629249057136
1e-06,0.007896522868499725,3.0,0.03942337655400984
1e-06,0.007896522868499725,4.0,0.03945478372170665
1e-06,0.007896522868499725,5.0,0.0394559113735856
1e-06,0.007896522868499725,6.0,0.039455955924799765
1e-06,0.007896522868499725,7.0,0.039455957761032
1e-06,0.007896522868499725,8.0,0.0394559578386879
1e-06,0.007896522868499725,9.0,0.039455957842024963
1e-06,0.007896522868499725,10.0,0.039455957842171104
1e-06,0.01,1.0,0.0507202882052681
1e-06,0.01,2.0,0.03369507444784848
1e-06,0.01,3.0,0.03941435601224625
1e-06,0.01,4.0,0.03945447045511113
1e-06,0.01,5.0,0.03945589899437572
1e-06,0.01,6.0,0.03945595541404777
1e-06,0.01,7.0,0.039455957739415876
1e-06,0.01,8.0,0.03945595783775762
1e-06,0.01,9.0,0.039455957841984794
1e-06,0.01,10.0,0.039455957842169334
1.2663801734674021e-06,1e-06,1.0,0.045774491703453685
1.2663801734674021e-06,1e-06,2.0,0.045774527940242324
1.2663801734674021e-06,1e-06,3.0,0.04577452892646689
1.2663801734674021e-06,1e-06,4.0,0.04577452895510795
1.2663801734674021e-06,1e-06,5.0,0.04577452895597416
