Date_Time,rms,maa,peak,mean_envelope,std_envelope,p90_envelope,date_str,tau
2023-08-05 12:00:00,1.1401302455536802e-05,8.566340370921119e-06,0.0001858012007355831,1.349755558696074e-05,8.820119550526983e-06,2.3860876716923294e-05,080523-120000,0.449392239
2023-08-05 13:00:00,1.2223235155927658e-05,9.049963530952457e-06,0.00030246707096490274,1.4262931882435101e-05,9.766428237961743e-06,2.4834973963666892e-05,080523-130000,0.376777213
2023-08-05 13:45:00,1.2763034451087006e-05,9.223720428254814e-06,0.00033703473621803445,1.4534597526122511e-05,1.0702111766818177e-05,2.5200359649271633e-05,080523-134500,0.376777213
2023-08-05 14:30:00,1.2287539171550976e-05,9.095874119620564e-06,0.00027005988479009174,1.4323382914739164e-05,9.839052405576342e-06,2.4944956625354076e-05,080523-143000,0.376777213
2023-08-05 18:00:00,1.1648389433414104e-05,8.466634179805858e-06,0.00033703473621803445,1.3349823676565785e-05,9.651508689806521e-06,2.3364677068823484e-05,080523-180000,0.449392239
2023-08-07 10:45:00,1.1764300863750005e-05,8.50352807517771e-06,0.00043209581566414676,1.340598241251863e-05,9.852745231590432e-06,2.3605232172209194e-05,080723-104500,0.399533816
2023-08-07 12:15:00,1.1772383573177073e-05,8.47363164983655e-06,0.0002614179684768088,1.3370494309183684e-05,9.92006777894409e-06,2.345420401519902e-05,080723-121500,0.399533816
2023-08-10 00:15:00,1.115530128315754e-05,7.879723626377508e-06,0.00038024431778444916,1.2434722857851208e-05,9.708685402298901e-06,2.16152917576426e-05,081023-001500,0.399533816
2023-08-10 07:00:00,1.2155522378990905e-05,8.510892157115494e-06,0.00038672575501941134,1.3423775269439282e-05,1.0738496233332352e-05,2.343334565938131e-05,081023-070000,0.399533816
2023-08-10 15:30:00,1.2264263644468255e-05,8.978373778636128e-06,0.0003759233596278077,1.4144286199856163e-05,1.0038064799584814e-05,2.4294647269364986e-05,081023-153000,0.399533816
