,cal_stress,match_stress,Calibration_Time,Match_Time,minute,rms_cal,maa_cal,peak_cal,mean_envelope_cal,std_envelope_cal,p90_envelope_cal,recording,tau_cal,rms_match,maa_match,peak_match,mean_envelope_match,std_envelope_match,p90_envelope_match,date_str,tau_match
10,0.395731209,0.399533816,9/20/2023 14:08,8/7/2023 10:45,14,1.90E-05,1.18E-05,0.000477466,1.85E-05,1.95E-05,3.63E-05,flood2,0.395731209,1.18E-05,8.50E-06,0.000432096,1.34E-05,9.85E-06,2.36E-05,080723-104500,0.399533816
11,0.395731209,0.399533816,9/20/2023 14:08,8/7/2023 12:15,14,1.90E-05,1.18E-05,0.000477466,1.85E-05,1.95E-05,3.63E-05,flood2,0.395731209,1.18E-05,8.47E-06,0.000261418,1.34E-05,9.92E-06,2.35E-05,080723-121500,0.399533816
12,0.395731209,0.399533816,9/20/2023 14:08,8/10/2023 0:15,14,1.90E-05,1.18E-05,0.000477466,1.85E-05,1.95E-05,3.63E-05,flood2,0.395731209,1.12E-05,7.88E-06,0.000380244,1.24E-05,9.71E-06,2.16E-05,081023-001500,0.399533816
13,0.395731209,0.399533816,9/20/2023 14:08,8/10/2023 7:00,14,1.90E-05,1.18E-05,0.000477466,1.85E-05,1.95E-05,3.63E-05,flood2,0.395731209,1.22E-05,8.51E-06,0.000386726,1.34E-05,1.07E-05,2.34E-05,081023-070000,0.399533816
14,0.395731209,0.399533816,9/20/2023 14:08,8/10/2023 15:30,14,1.90E-05,1.18E-05,0.000477466,1.85E-05,1.95E-05,3.63E-05,flood2,0.395731209,1.23E-05,8.98E-06,0.000375923,1.41E-05,1.00E-05,2.43E-05,081023-153000,0.399533816
15,0.452968146,0.449392239,9/20/2023 15:19,8/2/2023 13:00,14,2.49E-05,1.62E-05,0.000784254,2.54E-05,2.43E-05,4.87E-05,flood3,0.452968146,1.17E-05,8.65E-06,0.000216048,1.36E-05,9.41E-06,2.39E-05,080223-130000,0.449392239
16,0.452968146,0.449392239,9/20/2023 15:19,8/3/2023 17:45,14,2.49E-05,1.62E-05,0.000784254,2.54E-05,2.43E-05,4.87E-05,flood3,0.452968146,1.16E-05,8.61E-06,0.000265739,1.35E-05,9.23E-06,2.39E-05,080323-174500,0.449392239
17,0.452968146,0.449392239,9/20/2023 15:19,8/4/2023 23:45,14,2.49E-05,1.62E-05,0.000784254,2.54E-05,2.43E-05,4.87E-05,flood3,0.452968146,1.07E-05,7.98E-06,0.000198764,1.26E-05,8.37E-06,2.21E-05,080423-234500,0.449392239
18,0.452968146,0.449392239,9/20/2023 15:19,8/5/2023 12:00,14,2.49E-05,1.62E-05,0.000784254,2.54E-05,2.43E-05,4.87E-05,flood3,0.452968146,1.14E-05,8.57E-06,0.000185801,1.35E-05,8.82E-06,2.39E-05,080523-120000,0.449392239
19,0.452968146,0.449392239,9/20/2023 15:19,8/5/2023 18:00,14,2.49E-05,1.62E-05,0.000784254,2.54E-05,2.43E-05,4.87E-05,flood3,0.452968146,1.16E-05,8.47E-06,0.000337035,1.33E-05,9.65E-06,2.34E-05,080523-180000,0.449392239
20,0.499488808,0.503233779,9/20/2023 15:24,7/17/2023 17:45,19,3.27E-05,2.06E-05,0.00094845,3.23E-05,3.32E-05,6.35E-05,flood3,0.499488808,1.03E-05,7.89E-06,0.000110184,1.24E-05,7.68E-06,2.17E-05,071723-174500,0.503233779
21,0.499488808,0.503233779,9/20/2023 15:24,7/18/2023 14:45,19,3.27E-05,2.06E-05,0.00094845,3.23E-05,3.32E-05,6.35E-05,flood3,0.499488808,1.19E-05,8.98E-06,0.000203085,1.41E-05,9.03E-06,2.48E-05,071823-144500,0.503233779
22,0.499488808,0.503233779,9/20/2023 15:24,7/18/2023 18:00,19,3.27E-05,2.06E-05,0.00094845,3.23E-05,3.32E-05,6.35E-05,flood3,0.499488808,1.03E-05,7.66E-06,0.000233332,1.21E-05,8.16E-06,2.10E-05,071823-180000,0.503233779
23,0.499488808,0.503233779,9/20/2023 15:24,7/18/2023 19:15,19,3.27E-05,2.06E-05,0.00094845,3.23E-05,3.32E-05,6.35E-05,flood3,0.499488808,1.04E-05,7.71E-06,0.000177159,1.22E-05,8.16E-06,2.12E-05,071823-191500,0.503233779
24,0.499488808,0.503233779,9/20/2023 15:24,7/18/2023 20:00,19,3.27E-05,2.06E-05,0.00094845,3.23E-05,3.32E-05,6.35E-05,flood3,0.499488808,1.07E-05,8.06E-06,0.000149073,1.27E-05,8.09E-06,2.23E-05,071823-200000,0.503233779
25,0.559252925,0.562168481,9/21/2023 10:40,7/14/2023 18:00,14,3.20E-05,1.95E-05,0.000745365,3.07E-05,3.33E-05,6.05E-05,flood4,0.559252925,1.02E-05,7.93E-06,0.000190122,1.25E-05,7.31E-06,2.17E-05,071423-180000,0.562168481
26,0.559252925,0.562168481,9/21/2023 10:40,7/14/2023 19:30,14,3.20E-05,1.95E-05,0.000745365,3.07E-05,3.33E-05,6.05E-05,flood4,0.559252925,1.06E-05,8.11E-06,0.000116666,1.28E-05,7.96E-06,2.21E-05,071423-193000,0.562168481
27,0.559252925,0.562168481,9/21/2023 10:40,7/22/2023 13:30,14,3.20E-05,1.95E-05,0.000745365,3.07E-05,3.33E-05,6.05E-05,flood4,0.559252925,1.17E-05,8.94E-06,0.000149073,1.41E-05,8.67E-06,2.47E-05,072223-133000,0.562168481
28,0.559252925,0.562168481,9/21/2023 10:40,7/24/2023 0:45,14,3.20E-05,1.95E-05,0.000745365,3.07E-05,3.33E-05,6.05E-05,flood4,0.559252925,1.14E-05,8.65E-06,0.000289504,1.36E-05,8.66E-06,2.40E-05,072423-004500,0.562168481
29,0.559252925,0.562168481,9/21/2023 10:40,7/24/2023 15:45,14,3.20E-05,1.95E-05,0.000745365,3.07E-05,3.33E-05,6.05E-05,flood4,0.559252925,1.27E-05,9.59E-06,0.000218208,1.51E-05,9.73E-06,2.64E-05,072423-154500,0.562168481
30,0.56639289,0.562700329,9/21/2023 10:42,7/15/2023 17:30,16,3.48E-05,2.13E-05,0.000734563,3.35E-05,3.60E-05,6.48E-05,flood4,0.56639289,9.83E-06,7.62E-06,0.000120987,1.20E-05,6.99E-06,2.08E-05,071523-173000,0.562700329
31,0.56639289,0.562700329,9/21/2023 10:42,7/24/2023 19:15,16,3.48E-05,2.13E-05,0.000734563,3.35E-05,3.60E-05,6.48E-05,flood4,0.56639289,1.09E-05,8.11E-06,0.00022469,1.28E-05,8.55E-06,2.23E-05,072423-191500,0.562700329
32,0.56639289,0.562700329,9/21/2023 10:42,7/24/2023 19:45,16,3.48E-05,2.13E-05,0.000734563,3.35E-05,3.60E-05,6.48E-05,flood4,0.56639289,1.07E-05,8.11E-06,0.000213887,1.28E-05,8.09E-06,2.23E-05,072423-194500,0.562700329
33,0.56639289,0.562700329,9/21/2023 10:42,7/25/2023 2:45,16,3.48E-05,2.13E-05,0.000734563,3.35E-05,3.60E-05,6.48E-05,flood4,0.56639289,,,,,,,,
34,0.56639289,0.562700329,9/21/2023 10:42,7/25/2023 10:00,16,3.48E-05,2.13E-05,0.000734563,3.35E-05,3.60E-05,6.48E-05,flood4,0.56639289,,,,,,,,
35,0.47994966,0.475692385,9/21/2023 10:49,7/14/2023 19:00,3,3.07E-05,1.86E-05,0.000771291,2.92E-05,3.21E-05,5.68E-05,flood44,0.47994966,1.09E-05,8.22E-06,0.000222529,1.29E-05,8.30E-06,2.26E-05,071423-190000,0.475692385
36,0.47994966,0.475692385,9/21/2023 10:49,7/23/2023 22:30,3,3.07E-05,1.86E-05,0.000771291,2.92E-05,3.21E-05,5.68E-05,flood44,0.47994966,1.04E-05,7.98E-06,9.51E-05,1.26E-05,7.58E-06,2.21E-05,072323-223000,0.475692385
37,0.47994966,0.475692385,9/21/2023 10:49,7/24/2023 17:45,3,3.07E-05,1.86E-05,0.000771291,2.92E-05,3.21E-05,5.68E-05,flood44,0.47994966,1.05E-05,7.97E-06,0.000129629,1.26E-05,7.97E-06,2.19E-05,072423-174500,0.475692385
38,0.47994966,0.475692385,9/21/2023 10:49,7/24/2023 18:45,3,3.07E-05,1.86E-05,0.000771291,2.92E-05,3.21E-05,5.68E-05,flood44,0.47994966,1.02E-05,7.73E-06,0.000168517,1.22E-05,7.57E-06,2.14E-05,072423-184500,0.475692385
39,0.47994966,0.475692385,9/21/2023 10:49,7/25/2023 14:30,3,3.07E-05,1.86E-05,0.000771291,2.92E-05,3.21E-05,5.68E-05,flood44,0.47994966,,,,,,,,
40,0.479391853,0.475692385,9/21/2023 10:50,7/14/2023 19:00,4,2.64E-05,1.62E-05,0.000691353,2.55E-05,2.73E-05,4.97E-05,flood44,0.479391853,1.09E-05,8.22E-06,0.000222529,1.29E-05,8.30E-06,2.26E-05,071423-190000,0.475692385
41,0.479391853,0.475692385,9/21/2023 10:50,7/23/2023 22:30,4,2.64E-05,1.62E-05,0.000691353,2.55E-05,2.73E-05,4.97E-05,flood44,0.479391853,1.04E-05,7.98E-06,9.51E-05,1.26E-05,7.58E-06,2.21E-05,072323-223000,0.475692385
42,0.479391853,0.475692385,9/21/2023 10:50,7/24/2023 17:45,4,2.64E-05,1.62E-05,0.000691353,2.55E-05,2.73E-05,4.97E-05,flood44,0.479391853,1.05E-05,7.97E-06,0.000129629,1.26E-05,7.97E-06,2.19E-05,072423-174500,0.475692385
43,0.479391853,0.475692385,9/21/2023 10:50,7/24/2023 18:45,4,2.64E-05,1.62E-05,0.000691353,2.55E-05,2.73E-05,4.97E-05,flood44,0.479391853,1.02E-05,7.73E-06,0.000168517,1.22E-05,7.57E-06,2.14E-05,072423-184500,0.475692385
44,0.479391853,0.475692385,9/21/2023 10:50,7/25/2023 14:30,4,2.64E-05,1.62E-05,0.000691353,2.55E-05,2.73E-05,4.97E-05,flood44,0.479391853,,,,,,,,
