A,B,MAE,ks,xs,kw
4.342857142857143e-05,2.357142857142857,0.006482963642202999,43.42857142857143,0.7857142857142857,4.0
3.6357142857142854e-05,1.0,0.006488746737742532,29.285714285714285,0.7857142857142857,5.7142857142857135
3.6357142857142854e-05,2.357142857142857,0.006488789757155186,100.0,0.7857142857142857,4.571428571428571
5.05e-05,1.0,0.006488935757126638,92.92857142857143,0.8571428571428571,4.0
3.6357142857142854e-05,1.0,0.006489138619215515,64.64285714285714,0.7857142857142857,6.857142857142857
2.9285714285714288e-05,1.0,0.006491542998303681,43.42857142857143,0.7857142857142857,5.142857142857142
5.757142857142857e-05,2.357142857142857,0.006492055233220615,36.357142857142854,0.7857142857142857,4.571428571428571
3.6357142857142854e-05,1.0,0.006495292666710406,36.357142857142854,0.7857142857142857,5.142857142857142
2.9285714285714288e-05,1.0,0.006497729557499857,36.357142857142854,0.7857142857142857,6.285714285714286
3.6357142857142854e-05,2.357142857142857,0.00649868730840156,78.78571428571428,0.7857142857142857,4.571428571428571
3.6357142857142854e-05,1.0,0.006505020885596402,64.64285714285714,0.7857142857142857,6.285714285714286
4.342857142857143e-05,1.0,0.006505850552681758,92.92857142857143,0.8571428571428571,4.0
4.342857142857143e-05,2.357142857142857,0.006508227188793575,50.5,0.7857142857142857,4.0
3.6357142857142854e-05,1.0,0.0065124295577379,57.57142857142857,0.7857142857142857,5.7142857142857135
2.9285714285714288e-05,1.0,0.006512698955928087,78.78571428571428,0.7857142857142857,5.7142857142857135
3.6357142857142854e-05,1.0,0.006517255022268275,92.92857142857143,0.7857142857142857,6.857142857142857
5.757142857142857e-05,2.357142857142857,0.006518082032700406,57.57142857142857,0.7857142857142857,5.142857142857142
2.2214285714285717e-05,1.0,0.006519429926256606,92.92857142857143,0.7857142857142857,6.857142857142857
2.2214285714285717e-05,1.0,0.006521111493462084,85.85714285714286,0.7857142857142857,6.857142857142857
4.342857142857143e-05,2.357142857142857,0.006522355555479478,100.0,0.7857142857142857,5.142857142857142
3.6357142857142854e-05,1.0,0.0065238613384456775,57.57142857142857,0.7857142857142857,6.857142857142857
3.6357142857142854e-05,1.0,0.006524168904091082,36.357142857142854,0.7857142857142857,6.285714285714286
5.05e-05,2.357142857142857,0.0065257598986774995,36.357142857142854,0.7857142857142857,4.0
5.05e-05,2.357142857142857,0.0065263953223953786,43.42857142857143,0.7857142857142857,4.0
5.05e-05,1.0,0.0065282649461972046,85.85714285714286,0.8571428571428571,4.0
3.6357142857142854e-05,2.357142857142857,0.006532466846695994,71.71428571428571,0.7857142857142857,4.571428571428571
5.757142857142857e-05,2.357142857142857,0.006536719638279995,57.57142857142857,0.7857142857142857,4.571428571428571
5.757142857142857e-05,2.357142857142857,0.006538668148648799,64.64285714285714,0.7857142857142857,5.142857142857142
4.342857142857143e-05,2.357142857142857,0.00653884587720184,57.57142857142857,0.7857142857142857,4.0
4.342857142857143e-05,2.357142857142857,0.006541272950209046,92.92857142857143,0.7857142857142857,5.142857142857142
5.05e-05,2.357142857142857,0.006542615608819288,50.5,0.7857142857142857,4.0
