A,B,MAE
1.519911082952933e-06,1.9183673469387754,0.011092432362844956
3.274549162877732e-05,4.3061224489795915,0.01109364417108209
6.579332246575683e-05,4.857142857142858,0.011094642887804665
0.02310129700083158,9.63265306122449,0.011100780418845033
0.0003053855508833416,5.959183673469388,0.011103668821255602
6.579332246575683e-05,4.673469387755102,0.011110635243939704
0.0008111308307896872,6.877551020408164,0.011117159524306508
1e-06,1.183673469387755,0.011117976684082615
3.0538555088334123e-06,2.4693877551020407,0.011119663317213927
1.4174741629268048e-05,3.3877551020408165,0.011123497855918957
0.004328761281083062,8.16326530612245,0.011132111496411265
0.007564633275546291,8.714285714285715,0.011134317735677374
0.0024770763559917113,7.795918367346939,0.01113865690025157
0.03511191734215135,10.0,0.011140592570955055
6.1359072734131755e-06,3.0204081632653064,0.011142396721448775
3.0538555088334123e-06,2.1020408163265305,0.011144859363328439
0.0004037017258596554,6.326530612244898,0.011146682249218137
0.013219411484660288,9.081632653061225,0.01114679952234684
1.1497569953977357e-06,1.7346938775510203,0.011153513958629855
1.2328467394420658e-05,3.5714285714285716,0.011160022052567681
0.00020092330025650479,5.775510204081633,0.011165734663200593
0.04037017258596558,10.0,0.011171203987390738
2.477076355991714e-05,4.122448979591837,0.011171906848992066
0.0001,5.224489795918368,0.011175606943220165
4.977023564332114e-05,4.673469387755102,0.011177365646555151
4.328761281083062e-05,4.3061224489795915,0.011180658145296896
2.310129700083158e-06,2.2857142857142856,0.011182954141824875
0.0012328467394420659,7.244897959183674,0.011183336827411313
0.011497569953977356,9.081632653061225,0.011183599011584906
9.3260334688322e-06,3.0204081632653064,0.011186222930522299
0.00020092330025650479,5.591836734693878,0.01118732922815054
0.0009326033468832199,6.877551020408164,0.01119217959696262
0.0037649358067924675,8.16326530612245,0.011196242947300053
2.0092330025650458e-06,1.7346938775510203,0.011202106072285927
4.641588833612782e-06,2.836734693877551,0.01120814996838564
0.0006135907273413176,6.6938775510204085,0.011215894527044518
0.017475284000076828,9.448979591836736,0.011226970843440298
9.3260334688322e-06,3.3877551020408165,0.011228574260030613
0.0003053855508833416,6.142857142857143,0.01123797632045434
1.747528400007683e-06,2.1020408163265305,0.0112417853705499
1.873817422860383e-05,3.938775510204082,0.011243695067657194
0.001873817422860385,7.612244897959184,0.011243800303336837
6.1359072734131755e-06,2.6530612244897958,0.011246807162852507
2.8480358684358048e-05,3.938775510204082,0.011247369739465446
0.00572236765935022,8.53061224489796,0.011248249667196961
0.0001519911082952933,5.591836734693878,0.01125084587921304
3.7649358067924715e-05,4.4897959183673475,0.011252901408208116
7.56463327554629e-05,5.040816326530613,0.011255528991035274
1.3219411484660288e-06,1.3673469387755102,0.011256833347224899
