SampleID,t0,t1,max_amp,mean_amp,median_amp,impulses_ch6,impulses_ch5,impulses_ch4,impulses_ch3,impulses_ch2,impulses_ch1,ch6_max,ch6_mean,ch6_median,ch5_max,ch5_mean,ch5_median,ch4_max,ch4_mean,ch4_median,ch3_max,ch3_mean,ch3_median,ch2_max,ch2_mean,ch2_median,ch1_max,ch1_mean,ch1_median
101,432,438,0.019146509043753115,0.009570819169817557,0.005887900868403793,0,3,11,33,83,193,,,,0.07658603617501246,0.06448218612955707,0.06859430183734563,0.30634414470004984,0.18720266903365385,0.19306488150525242,1.2253765788001993,0.6125324268683237,0.37682565557784276,4.901506315200797,2.4501297074732946,1.507302622311371,19.60602526080319,9.800518829893178,6.029210489245484
24,468,478,0.06709339417841137,0.010460246519444443,0.0038270467938784835,1,6,14,32,76,299,0.06709339417841137,0.06709339417841137,0.06709339417841137,0.2683735767136455,0.15850583255829767,0.15850583255829767,1.073494306854582,0.38342692437070885,0.17542237315190273,4.293977227418328,0.9685630604292739,0.4374745772977917,17.17590890967331,2.6778231089777775,0.9797239792328918,68.70363563869324,10.71129243591111,3.918895916931567
107,515,520,0.017649864163778874,0.009217078687017669,0.009314028025478555,0,1,10,20,57,163,,,,0.0705994566551155,0.0705994566551155,0.0705994566551155,0.282397826620462,0.2003382604517626,0.19269214491225078,1.129591306481848,0.6750596187367399,0.6579118858129078,4.518365225927392,2.359572143876523,2.38439117452251,18.073460903709567,9.438288575506093,9.53756469809004
162,550,560,0.014312798667423366,0.00584832063400735,0.003352289218302695,0,0,10,33,91,330,,,,,,,0.22900477867877386,0.17392306767325563,0.18334010697067632,0.9160191147150955,0.54319403345484,0.5618600462775034,3.664076458860382,1.4971700823058816,0.8581860398854899,14.656305835441527,5.988680329223526,3.4327441595419597
159,595,610,0.006980292444647414,0.0031768296735807298,0.0029137532325429687,0,0,1,13,110,462,,,,,,,0.07822247417677093,0.07822247417677093,0.07822247417677093,0.4467387164574345,0.2627086802134702,0.21820677287885806,1.786954865829738,0.8132683964366668,0.745920827531,7.147819463318952,3.2530735857466673,2.983683310124
35,642,648,0.014191560393701409,0.006010910882043404,0.004040769737377164,0,1,5,20,66,198,,,,0.056766241574805636,0.056766241574805636,0.056766241574805636,0.22706496629922254,0.18519909442012197,0.18519909442012197,0.9082598651968902,0.4743222667367129,0.43663099156653445,3.6330394607875607,1.5387931858031114,1.034437052768554,14.532157843150243,6.155172743212446,4.137748211074216
69,685,689,0.006944574156700967,0.00462915469724746,0.00436606060687482,0,0,2,12,44,142,,,,,,,0.11111318650721547,0.11111318650721547,0.11111318650721547,0.44445274602886187,0.3337957160765147,0.3343165460915368,1.7778109841154475,1.1850636024953498,1.117711515359954,7.11124393646179,4.740254409981399,4.470846061439816
85,730,736,0.00721060742489043,0.004310702512681589,0.0032147255156120755,0,0,2,20,56,221,,,,,,,0.11536971879824688,0.10555265781538048,0.10555265781538048,0.4614788751929875,0.2961203634834779,0.2943424101646146,1.84591550077195,1.1035398432464867,0.8229697319966913,7.3836620030878,4.414159372985947,3.2918789279867653
61,782,788,0.015621448729264733,0.005266294957655605,0.0027244589062528656,0,0,7,15,64,195,,,,,,,0.24994317966823573,0.16346172879229043,0.16346172879229043,0.9997727186729429,0.5827698157449799,0.4406156168966162,3.9990908746917717,1.348171509159835,0.6974614800007336,15.996363498767087,5.39268603663934,2.7898459200029344
52,820,825,0.010312591811044393,0.005592612002778067,0.004782485737350526,0,0,6,17,63,169,,,,,,,0.16500146897671028,0.12586856113637523,0.12333370357094729,0.6600058759068411,0.39446622668390596,0.35708204344587235,2.6400235036273645,1.4317086727111852,1.2243163487617346,10.560094014509458,5.726834690844741,4.897265395046938
165,865,875,0.006760871078898203,0.0034367614154589294,0.0032222345316923703,0,0,1,14,80,345,,,,,,,0.10817393726237125,0.10817393726237125,0.10817393726237125,0.432695749049485,0.2630210377114434,0.24667959331627493,1.73078299619794,0.8798109223574859,0.8248920401132468,6.92313198479176,3.5192436894299437,3.299568160452987
166,920,930,0.003446526072603014,0.0026888150842251345,0.0025727856674426343,0,0,0,5,43,348,,,,,,,,,,0.21805132463652108,0.18142026432720948,0.17681305482585624,0.8823106745863716,0.6883366615616344,0.6586331308653144,3.5292426983454863,2.7533466462465377,2.6345325234612575
53,970,985,0.0034421994274185064,0.0024023949183714166,0.002244422097598694,0,0,0,1,60,510,,,,,,,,,,0.21847975293149657,0.21847975293149657,0.21847975293149657,0.8812030534191376,0.6432848762821054,0.6025603483678132,3.5248122136765505,2.4600523964123306,2.298288227941063
45,1020,1030,0.0044351695112676785,0.0030116236434756262,0.002905808966656151,0,0,1,9,64,340,,,,,,,0.07096271218028286,0.07096271218028286,0.07096271218028286,0.2838508487211314,0.23087973266339368,0.2257654536480595,1.1354033948845257,0.7709756527297603,0.7438870954639747,4.541613579538103,3.0839026109190413,2.9755483818558988
