,7/29/2023 0:00,7/29/2023 0:15,7/29/2023 0:30,7/29/2023 0:45,7/29/2023 1:00,7/29/2023 1:15,7/29/2023 1:30,7/29/2023 1:45,7/29/2023 2:00,7/29/2023 2:15,7/29/2023 2:30,7/29/2023 2:45,7/29/2023 3:00,7/29/2023 3:15,7/29/2023 3:30,7/29/2023 3:45,7/29/2023 4:00,7/29/2023 4:15,7/29/2023 4:30,7/29/2023 4:45,7/29/2023 5:00,7/29/2023 5:15,7/29/2023 5:30,7/29/2023 5:45,7/29/2023 6:00,7/29/2023 6:15,7/29/2023 6:30,7/29/2023 6:45,7/29/2023 7:00,7/29/2023 7:15,7/29/2023 7:30,7/29/2023 7:45,7/29/2023 8:00,7/29/2023 8:15,7/29/2023 8:30,7/29/2023 8:45,7/29/2023 9:00,7/29/2023 9:15,7/29/2023 9:30,7/29/2023 9:45,7/29/2023 10:00,7/29/2023 10:15,7/29/2023 10:30,7/29/2023 10:45,7/29/2023 11:00,7/29/2023 11:15,7/29/2023 11:30,7/29/2023 11:45,7/29/2023 12:00,7/29/2023 12:15,7/29/2023 12:30,7/29/2023 12:45,7/29/2023 13:00,7/29/2023 13:15,7/29/2023 13:30,7/29/2023 13:45,7/29/2023 14:00,7/29/2023 14:15,7/29/2023 14:30,7/29/2023 14:45,7/29/2023 15:00,7/29/2023 15:15,7/29/2023 15:30,7/29/2023 15:45,7/29/2023 16:00,7/29/2023 16:15,7/29/2023 16:30,7/29/2023 16:32,7/29/2023 16:45,7/29/2023 17:00,7/29/2023 17:15,7/29/2023 17:30,7/29/2023 17:45,7/29/2023 18:00,7/29/2023 18:15,7/29/2023 18:30,7/29/2023 18:45,7/29/2023 19:00,7/29/2023 19:15,7/29/2023 19:30,7/29/2023 19:45,7/29/2023 20:00,7/29/2023 20:15,7/29/2023 20:30,7/29/2023 20:45,7/29/2023 21:00,7/29/2023 21:15,7/29/2023 21:30,7/29/2023 21:45,7/29/2023 22:00,7/29/2023 22:15,7/29/2023 22:30,7/29/2023 22:45,7/29/2023 23:00,7/29/2023 23:15,7/29/2023 23:30,7/29/2023 23:45,7/30/2023 0:00
mean_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138624154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
median_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138624154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max_env_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27543267,0.245908684,0.376941029,0.724028425,0.264143432,0,0.189882917,0.126711793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mean_env_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236866464,0.218723509,0.299931827,0.527654574,0.20564124,0,0.183197364,0.126711793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
median_env_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239471499,0.228102393,0.30841037,0.522053884,0.19910269,0,0.182850155,0.126711793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max_env_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.101730678,1.086037338,1.507764117,2.896113699,1.056573729,0.324833131,0.814204266,0.530843504,0.236702796,0.380760809,0,0.136225358,0.089609107,0.102608092,0,0.089039896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mean_env_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864227303,0.831570467,1.09382307,2.089995996,0.735883509,0.28103539,0.645138422,0.404886163,0.20571577,0.267809655,0,0.132194436,0.089609107,0.101032795,0,0.089039896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
median_env_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.860531668,0.826344836,1.105408347,2.083621714,0.714678236,0.280997249,0.634951988,0.3979963,0.205823199,0.265171754,0,0.132194436,0.089609107,0.101032795,0,0.089039896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max_env_ch3,0,0,0,0,0,0,0.114711791,0,0,0,0,0.068561234,0,0,0,0,0,0,0.068172522,0,0,0,0,0,0.112571218,0,0,0,0,0,0,0.113891881,0,0,0.086216921,0,0,0.102035857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076125651,0,0.196875113,0.137118022,0.227336569,0.675061515,4.406922714,4.344149351,6.031056469,11.5844548,4.226294915,1.299332525,3.256817062,2.123374014,0.946811185,1.523043235,0.485247635,0.544901431,0.406019404,0.436987662,0.283585249,0.356159585,0.240194127,0.206065047,0.289721247,0.160500297,0.184812628,0.196219838,0.357263036,0.328992305,0.279686444,0.308489004,0.175724615,0.104963156,0.144386188,0.234447447,0.114743585,0.173855084,0.11616122,0.123583347,0,0.127856663,0.121965638,0
mean_env_ch3,0,0,0,0,0,0,0.114711791,0,0,0,0,0.068561234,0,0,0,0,0,0,0.068172522,0,0,0,0,0,0.112571218,0,0,0,0,0,0,0.113891881,0,0,0.086216921,0,0,0.102035857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073661401,0,0.161528914,0.137118022,0.190672786,0.502245748,3.456909211,3.326281867,4.375292281,8.359983982,2.943534035,1.06854156,2.580553686,1.597587408,0.731834422,1.004178583,0.358319051,0.389153438,0.321061628,0.322747638,0.226420898,0.25879249,0.204173689,0.172185017,0.23615742,0.146814174,0.178312752,0.1693465,0.237482151,0.194528012,0.200313457,0.227227544,0.148374007,0.104963156,0.144386188,0.203412022,0.111747189,0.173855084,0.11616122,0.11364618,0,0.127856663,0.121965638,0
median_env_ch3,0,0,0,0,0,0,0.114711791,0,0,0,0,0.068561234,0,0,0,0,0,0,0.068172522,0,0,0,0,0,0.112571218,0,0,0,0,0,0,0.113891881,0,0,0.086216921,0,0,0.102035857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073661401,0,0.159654814,0.137118022,0.184862665,0.501649725,3.442126671,3.305379346,4.421633387,8.334486857,2.858712945,1.047807205,2.539807951,1.582406258,0.714641439,1.003637918,0.352489828,0.381120757,0.315151647,0.31766559,0.227206248,0.248725301,0.194815967,0.167057449,0.234023069,0.144875869,0.181554665,0.164817648,0.231309995,0.181665457,0.19202055,0.222104945,0.154270919,0.104963156,0.144386188,0.209299975,0.111747189,0.173855084,0.11616122,0.11364618,0,0.127856663,0.121965638,0
max_env_ch2,0.204101424,0.275947973,0.404004383,0.158381653,0.459265707,0.452283899,0.458847164,0.245348804,0.382939675,0.221647954,0.269429307,0.291315877,0.233796567,0.31386202,0.298806582,0.136730061,0.32133993,0.572237348,0.291302597,0.214100629,0.275484827,0.314861987,0.202294777,0.304567725,0.450284871,0.269864247,0.3449044,0.158353392,0.243158349,0.454519446,0.498422751,0.455567524,0.458212561,0.473250141,0.358495618,0.414135318,0.300587956,0.408143429,0.316718317,0.370072488,0.268214323,0.392465616,0.246879516,0.17558866,0,0.217874394,0.139520019,0.186951743,0.326645307,0.201086517,0.229356478,0.27821828,0.148076375,0.267526051,0.317534495,0.616376456,0.787500452,0.548472086,0.909346275,2.70024606,17.62769086,17.37659741,24.12422588,46.33781919,16.90517966,5.197330102,13.02726825,8.493496057,3.787244741,6.092172942,1.94099054,2.179605722,1.624077616,1.747950647,1.134340997,1.424638339,1.058689737,0.891366458,1.158884987,0.642131941,0.80344727,0.882101439,1.429052144,1.315969221,1.118745776,1.233956017,0.702898461,0.720744759,0.577544753,0.937789787,0.511487933,0.695420335,0.47039995,0.571060263,0.441306543,0.511426653,0.601158655,0.461139864
mean_env_ch2,0.193679426,0.23570513,0.296189532,0.158381653,0.347656631,0.297319518,0.341431734,0.202275859,0.317815849,0.202752772,0.235436719,0.233337541,0.217048191,0.2777088,0.229546741,0.125758646,0.235483684,0.36553935,0.253430846,0.190456719,0.227462077,0.252018401,0.187148641,0.237776505,0.270278914,0.198931956,0.262302592,0.142239976,0.203088478,0.307568022,0.352672465,0.306672214,0.371218518,0.360605812,0.309304965,0.293035769,0.246150361,0.257532508,0.263940927,0.301285449,0.218670369,0.258671031,0.218457768,0.17558866,0,0.182979101,0.121651823,0.16541347,0.225319806,0.187007434,0.187519048,0.240625472,0.148076375,0.203752953,0.253419431,0.453445258,0.524662975,0.432561533,0.611571821,1.998168223,13.82763684,13.30512747,17.50116913,33.43993593,11.77413614,4.274166241,10.32221475,6.390349632,2.927337687,4.016714332,1.364255659,1.516904963,1.254245087,1.225691306,0.821730999,0.925894859,0.740108603,0.600980301,0.807373656,0.500641519,0.546619717,0.624791926,0.843233832,0.661586067,0.739505959,0.83724838,0.505252144,0.395513855,0.440147539,0.633542321,0.376908062,0.454033247,0.37182109,0.426187441,0.349905454,0.41115724,0.428414672,0.364144815
median_env_ch2,0.188608882,0.233912554,0.296106652,0.158381653,0.339945971,0.286736561,0.331825275,0.200077444,0.31646136,0.203227603,0.237344485,0.232806204,0.219000459,0.276202993,0.233551648,0.128258031,0.228673169,0.359505916,0.26569161,0.192077029,0.224276973,0.250048446,0.190138446,0.234145978,0.257538782,0.194984831,0.25613948,0.151642621,0.203879714,0.299972868,0.342082496,0.301087359,0.369655793,0.361767157,0.309137541,0.2820415,0.239302104,0.25296145,0.267302748,0.309441342,0.208690455,0.25429479,0.224162807,0.17558866,0,0.177344183,0.128101407,0.163784955,0.224614468,0.195462892,0.188007296,0.24240706,0.148076375,0.198048765,0.253461123,0.443558232,0.509180987,0.424527001,0.599638035,1.99044806,13.76850668,13.22151738,17.68653355,33.33794743,11.43485178,4.19122882,10.15923181,6.329625033,2.858565755,4.014551673,1.334606447,1.488909343,1.231730407,1.214617007,0.820932255,0.895925769,0.71885022,0.593006087,0.79930482,0.499347391,0.521009334,0.619039895,0.864750024,0.635188045,0.712600738,0.802339054,0.504287861,0.390705658,0.42979839,0.620516719,0.370243115,0.452137784,0.375730552,0.421060167,0.346495358,0.412219458,0.421402278,0.359388508
max_env_ch1,0.816405696,1.103791891,1.616017533,0.699506321,1.837062828,1.809135596,1.835388657,0.981395214,1.5317587,0.886591815,1.077717229,1.203499831,0.935186269,1.255448079,1.195226329,0.562402071,1.28535972,2.288949392,1.165210387,0.856402518,1.101939308,1.259447948,0.855090001,1.2182709,1.801139485,1.07945699,1.3796176,0.678828943,0.972633396,1.818077782,1.993691004,1.822270095,1.832850242,1.893000565,1.467871467,1.656541272,1.202351825,1.632573715,1.266873266,1.480289952,1.072857293,1.569862465,1.08274848,0.702354639,0.400379354,0.871497577,0.558080075,0.970454245,1.306581228,0.804346069,0.91742591,1.112873119,0.592305498,1.070104202,1.270137981,2.465505826,3.150001808,2.193888345,3.6373851,10.80098424,70.51076342,69.50638962,96.49690351,185.3512768,67.62071864,20.78932041,52.10907299,33.97398423,15.14897896,24.36869177,7.763962158,8.718422889,6.496310462,6.991802588,4.537363988,5.698553358,4.23475895,3.565465832,4.635539947,2.568527764,3.213789079,3.528405754,5.716208578,5.263876885,4.474983104,4.935824069,2.811593844,2.882979035,2.310179012,3.751159146,2.04595173,2.781681342,1.8815998,2.284241051,1.765226171,2.045706612,2.40463462,1.844559455
mean_env_ch1,0.659361171,0.871348424,1.061600147,0.55341177,1.300508029,1.09132655,1.249477087,0.691319136,1.202294423,0.675936625,0.811413692,0.857798942,0.79567702,1.015738585,0.819156377,0.446800599,0.830917092,1.435309687,0.820243656,0.666408048,0.858135903,0.876300191,0.667804549,0.786059409,1.001211564,0.680841403,0.952221167,0.502825017,0.696600669,1.169241092,1.355891716,1.165375469,1.413092828,1.395490843,1.180308733,1.115516445,0.888470906,0.91362842,0.944406425,1.153049762,0.782476712,0.864704641,0.761194646,0.537919938,0.325670092,0.64713307,0.442009309,0.610119447,0.781929136,0.635892003,0.72277333,0.879000364,0.398902379,0.660930743,0.945664256,1.797901603,2.098651898,1.688448495,2.440474527,7.992672893,55.31054737,53.22050988,70.0046765,133.7597437,47.09654455,17.09666496,41.28885898,25.56139853,11.70935075,16.06685733,5.457022636,6.067619853,5.016980347,4.902765222,3.286923995,3.703579438,2.960434411,2.403921205,3.229494624,1.970853236,2.181043006,2.499167705,3.372935328,2.646344266,2.958023837,3.348993521,2.021008576,1.55741843,1.744284832,2.534169285,1.47269292,1.800862001,1.435303873,1.666220569,1.362188079,1.635109533,1.686282422,1.430775498
median_env_ch1,0.663248252,0.865064764,1.03650048,0.556774224,1.271240695,1.065345544,1.22167258,0.682226318,1.188032295,0.652481932,0.79557273,0.838468145,0.794870537,1.012584557,0.800232263,0.446559092,0.817768909,1.384170493,0.798240464,0.641268721,0.838801627,0.846531313,0.671363361,0.775473876,0.960162371,0.65334076,0.945083563,0.496383939,0.698281226,1.152314527,1.309303009,1.152975264,1.408976099,1.37539078,1.168054123,1.111834401,0.856184621,0.893183601,0.917750068,1.146065799,0.773974294,0.856563485,0.75563706,0.537622176,0.323782299,0.639216616,0.453176713,0.595795304,0.767033134,0.636310298,0.725785535,0.872220591,0.391139791,0.652269315,0.92634173,1.764617681,2.03672395,1.668971654,2.394722372,7.961792238,55.07402674,52.88606953,70.7461342,133.3517897,45.73940711,16.76491528,40.63692722,25.31850013,11.43426302,16.05820669,5.33842579,5.955637374,4.926921626,4.858468029,3.28372902,3.583703075,2.87540088,2.372024349,3.19721928,1.982370944,2.079641626,2.476159578,3.459000094,2.54075218,2.850402951,3.209356216,2.017151444,1.518761617,1.702233364,2.482066877,1.431686042,1.789671116,1.409080558,1.657794863,1.34438255,1.645908981,1.656536898,1.431385308
tau,0.854621561,0.99067577,1.144174299,0.734329938,1.317101139,1.144174299,1.257509953,0.854621561,1.257509953,0.854621561,0.99067577,0.99067577,0.99067577,1.144174299,0.99067577,0.662288516,0.99067577,1.444465427,0.99067577,0.854621561,0.99067577,0.99067577,0.897832276,0.99067577,1.144174299,0.897832276,1.144174299,0.734329938,0.854621561,1.145105356,1.257509953,1.145105356,1.318149035,1.318149035,1.145105356,1.145105356,0.991502273,0.991502273,0.991502273,1.145105356,0.898594154,0.898594154,0.855352982,0.662288516,0.475692385,0.773210393,0.562168481,0.734329938,0.854621561,0.772537527,0.854621561,0.897832276,0.562168481,0.773210393,0.898594154,1.512591988,1.654461261,1.512591988,1.88950475,4.402110956,14.6021538,13.23867651,14.6021538,20.13153875,10.52993432,5.509495866,9.209599065,6.539713428,3.869827791,5.509495866,2.653942833,2.880982424,2.655819812,2.655819812,2.061973956,2.343658254,2.061973956,1.808626597,2.343658254,1.654461261,1.808626597,1.808626597,2.152228212,1.88950475,2.152228212,2.341965306,1.654461261,1.512591988,1.654461261,2.152228212,1.511415151,1.729502407,1.511415151,1.654461261,1.444465427,1.654461261,1.729502407,1.511415151
amp_factor,0.533885576,0.666923611,0.828511772,0.424837052,1.024146213,0.828511772,0.955163604,0.533885576,0.955163604,0.533885576,0.666923611,0.666923611,0.666923611,0.828511772,0.666923611,0.363649357,0.666923611,1.176897228,0.666923611,0.533885576,0.666923611,0.666923611,0.575057021,0.666923611,0.828511772,0.575057021,0.828511772,0.424837052,0.533885576,0.82952738,0.955163604,0.82952738,1.025373659,1.025373659,0.82952738,0.82952738,0.667761786,0.667761786,0.667761786,0.82952738,0.575792124,0.575792124,0.534573894,0.363649357,0.220914686,0.459164961,0.284104114,0.424837052,0.533885576,0.458563291,0.533885576,0.575057021,0.284104114,0.459164961,0.575792124,1.261486466,1.443850768,1.261486466,1.763645537,6.304075535,38.36471,33.09891108,38.36471,62.22611761,23.4465468,8.838776932,19.16225226,11.44238573,5.191895907,8.838776932,2.941891714,3.329030007,2.94502591,2.94502591,2.011617892,2.439503135,2.011617892,1.651189039,2.439503135,1.443850768,1.651189039,1.651189039,2.145688619,1.763645537,2.145688619,2.436849598,1.443850768,1.261486466,1.443850768,2.145688619,1.260008564,1.543606769,1.260008564,1.443850768,1.176897228,1.443850768,1.543606769,1.260008564
